Ntc	Nli	Nbr	Nla	Nmu	NA1	NA2	NA3	NA4	t1	t2	t3	t4	Mmu2la	Mla2mu	Mli2la	Mla2li	Mli2tc	Mtc2li	Mmu2li	Mli2mu	Mla2tc	Mtc2la	Mli2br	Mbr2li	MaxEstLhood	MaxObsLhood
1133	9762	5221	15586	8582	1092	3420	41559	854573	2281	3582	3807	4268	6.83E-05	1.17E-05	1.64E-05	1.48E-06	3.80E-04	6.86E-06	3.35E-05	1.34E-05	1.77E-05	2.85E-06	5.92E-05	3.99E-05	-4624162.735	-4579617.966
1152	3097	5405	16828	4852	1256	7716	153259	858865	1870	4299	4563	6918	2.41E-04	2.65E-06	6.68E-05	9.49E-06	4.98E-04	4.96E-06	7.18E-05	1.26E-05	1.13E-05	2.44E-06	1.11E-04	5.59E-05	-4631512.592	-4576826.437
1116	4752	5870	14258	13858	1212	2014	432053	805600	3069	3686	3933	7015	4.82E-05	6.88E-06	3.01E-05	1.36E-05	6.31E-04	3.99E-06	2.94E-05	1.18E-05	7.66E-06	1.29E-06	6.66E-05	1.95E-05	-4611937.245	-4568812.25
1087	5546	5142	24709	16250	2544	73742	225677	767274	3586	4116	6780	8363	4.42E-05	7.49E-06	8.22E-06	1.05E-05	6.32E-04	3.86E-06	2.37E-05	1.03E-05	1.08E-05	1.80E-06	6.56E-05	4.62E-05	-4612194.177	-4570128.965
4564	1320	8006	25766	19626	1133	16524	384288	788010	619	4533	6180	8398	1.27E-04	1.34E-05	1.38E-04	2.14E-06	2.39E-05	2.98E-06	5.68E-05	1.10E-04	4.22E-05	1.29E-06	2.42E-04	3.82E-05	-4610895.611	-4563474.738
1092	4095	6424	20193	18674	1435	15310	446699	787147	2235	4461	5370	8773	5.72E-05	6.24E-06	4.45E-05	9.75E-06	4.38E-04	1.18E-05	1.93E-05	2.03E-05	1.47E-05	1.57E-06	7.85E-05	2.52E-05	-4605448.361	-4561651.073
1101	2055	6609	15266	21115	1123	2902	509769	839876	1198	3884	4149	9366	6.77E-05	1.85E-05	8.93E-05	2.67E-05	6.38E-04	7.06E-06	2.84E-05	6.22E-05	3.30E-06	3.70E-06	1.71E-04	9.73E-06	-4613678.72	-4567499.989
1150	4782	6008	20768	16989	232947	120587	254331	799585	4339	4787	5566	9599	3.99E-05	1.22E-05	2.21E-05	1.18E-05	6.19E-04	4.26E-06	2.76E-05	1.32E-05	6.12E-06	4.54E-06	6.90E-05	4.46E-05	-4600496.285	-4557942.163
1073	4871	5398	26844	16839	50265	110120	142751	813866	3787	4294	7946	9776	3.72E-05	6.90E-06	2.88E-06	1.11E-05	6.37E-04	4.35E-06	3.61E-05	1.99E-05	8.49E-06	3.08E-06	6.60E-05	4.34E-05	-4615346.395	-4572543.66
1821	1215	8507	24749	22134	1274	7965	253539	786965	688	4774	5761	10017	1.25E-04	2.35E-05	1.61E-04	2.34E-05	5.93E-04	2.39E-06	6.35E-05	1.31E-04	1.80E-05	2.78E-06	2.37E-04	1.00E-05	-4621908.368	-4574160.725
1142	6433	7276	31725	24027	1264	49301	113413	816816	3582	4375	9043	10538	2.74E-05	4.50E-06	9.34E-06	1.68E-05	4.61E-04	9.55E-06	1.72E-05	1.49E-05	5.13E-06	1.78E-06	5.50E-05	1.90E-05	-4616413.233	-4574171.958
1132	2183	9626	27770	23571	1939	13629	213126	796885	1041	5722	7151	10562	1.00E-04	9.89E-06	9.46E-05	1.95E-05	4.08E-04	2.83E-06	5.00E-05	4.74E-05	1.60E-05	2.36E-06	1.57E-04	1.70E-05	-4608826.911	-4562850.448
