file	nsamp	ndiffs	ncells	piT	piW	TajD
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	2	8252	133052	4073.833333333333	4467.818181818182	-0.04131409316548429
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	3	11886	199578	3959.5333333333333	4191.240875912409	-0.018294282524632426
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	4	15808	266104	3964.8214285714284	4132.506887052342	-0.010360468330361765
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	5	18592	332630	3909.5555555555557	4044.5840931406933	-0.00693075892436733
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	6	23634	399156	3975.3787878787875	4071.026268949123	-0.00410645756750657
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	7	27090	465682	3951.428571428571	4157.686757248954	-0.007483829944757598
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	2	10156	226788	5035.5	5354.727272727273	-0.027930097581449754
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	8	32200	532208	3888.991666666667	3994.9021080370003	-0.0035168344897089183
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	2	11092	377648	5501.666666666666	5809.090909090909	-0.024793511314409697
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	9	34588	598734	3988.5424836601305	4059.248959885196	-0.0020614218577103753
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	3	15540	340182	4992.733333333334	5283.941605839416	-0.018237229822414408
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	10	36842	665260	3895.7894736842104	3955.7581322917317	-0.0016191946261944453
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	3	16878	566472	5625.266666666666	6121.313868613139	-0.02681569662977977
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	4	20490	453576	5097.5	5388.650137741048	-0.01379526009129339
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	11	44092	731786	3949.7012987012986	4062.9746479130163	-0.0027129169319981077
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	4	21992	755296	5493.035714285714	6196.253443526171	-0.02897687235741916
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	5	25090	566970	4999.266666666666	5424.945995230748	-0.016289638345541712
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	12	49298	798312	3973.4818840579705	4054.5843716398335	-0.001787309796978072
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	13	52848	864838	3955.873846153846	4040.1386183629884	-0.0017226726089536516
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	6	30496	680364	5079.045454545454	5608.174791843367	-0.016490476088536137
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	5	28084	944120	5505.2444444444445	6422.836302426708	-0.029658201717816184
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	14	57316	931364	3978.8730158730154	4024.970851059944	-0.0008793844808909317
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	7	35116	793758	5051.164835164835	5569.262604570883	-0.01403377041683665
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	15	55604	997890	3932.2919540229886	4022.3100791153443	-0.001605310772381978
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	6	33418	1132944	5532.984848484848	6632.388574978199	-0.028971979366482662
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	8	39500	907152	5005.133333333333	5514.990085778297	-0.012263607372025398
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	16	64802	1064416	3965.3649193548385	4031.043358967958	-0.0010965299173953567
