file	nsamp	ndiffs	ncells	piT	piW	TajD
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz	100	68224	4786600	1033.9649246231156	1840.6168970483116	-0.004733917195958503
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop1	22	23320	1053052	1039.433403805497	1657.0120196964028	-0.01829287306950243
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop3	29	11784	1388114	429.8209316394434	427.08886503847157	0.00023851769499853428
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	21480	1832000	309.0054271356784	497.8689923190808	-0.00409812450039032
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	33	8002	604560	243.12773892773893	260.12362491604875	-0.0021418642365679855
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop2	24	15544	1148784	756.8076241134752	714.7421910411364	0.002649409603861696
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	30	10264	549600	337.38813559322034	421.1696736529293	-0.007170621429009341
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	37	9384	677840	263.97186227323215	277.9767275277659	-0.001473202254578378
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop0	25	21120	1196650	899.7967346938776	1069.3861161065886	-0.006854391857488763
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	24474	1832000	292.9673366834171	478.28796149941786	-0.004185905218384516
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	37	8052	677840	244.49907441688265	281.46425842663825	-0.0038402501111360794
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	43	9932	787760	259.5797537619699	266.03059471935137	-0.000610156962031762
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	20	6796	366400	335.3666666666667	402.9581890462301	-0.009052260923652385
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	27760	1832000	320.3813065326633	503.8284364815869	-0.003933502318755728
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz	100	70432	4786600	1041.5833668341709	1858.154689869401	-0.00474689833190509
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	31	6900	567920	244.1639344262295	268.5113185246467	-0.003163816791495151
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	37	11984	677840	337.25694187338024	425.68391853882974	-0.006073426804857488
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	32	6558	586240	265.37351190476187	273.4617778130063	-0.000999810609156676
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop1	25	23970	1196650	1029.182857142857	1617.4744073470217	-0.01571971466735805
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	22262	1832000	313.3640201005025	515.4067851401702	-0.004234895397030897
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop2	19	13756	909454	741.302987197724	700.6877505710702	0.0032910734983310676
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	27	6776	494640	262.0426275331936	263.9945719688519	-0.00029608995532314777
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	35	5770	641200	229.6008281573499	245.09442555958816	-0.001954072980579492
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	38	9474	696160	340.5835087719298	433.7575479623199	-0.006115183905625876
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop0	29	27170	1388114	906.3442226255293	1029.3770571109342	-0.00445584300201442
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	24404	1832000	311.5032663316583	497.3581828194374	-0.004036982866247711
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop3	27	10076	1292382	438.0202655485674	443.9409967522755	-0.0005339839046308167
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	36	10030	659520	346.33137715179964	424.1867956432756	-0.005515132203478074
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	32	7206	586240	244.89831349206347	255.27329143101207	-0.0013738924086654405
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	32	7804	586240	238.63442460317458	268.3859211482637	-0.0037472374664320306
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	22118	1832000	311.2652261306533	492.07981798978915	-0.003969637405660619
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	33	7712	604560	263.79114219114217	269.9990775582574	-0.0007537137145777644
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	30	9538	549600	351.34237288135597	417.9530009926472	-0.00574490021516115
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz	100	73374	4786600	1051.4227638190955	1935.6274639819803	-0.004934326912122801
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	37	7898	677840	244.3702332469456	270.3862191008085	-0.0028135336421789225
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop0	26	19286	1244516	896.6161387631976	974.1495882268885	-0.003308348710842015
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	21902	1832000	310.27261306532665	500.42303981729765	-0.004104985921318901
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	27	7066	494640	239.8357791754018	243.80546089558976	-0.0006520462865194126
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	41	9256	751120	258.643179765131	278.63575190257643	-0.0018934965291359806
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop3	17	5892	813722	409.5169340463458	437.2923048010275	-0.004026866736485373
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	32	10844	586240	343.73015873015873	419.8156449797506	-0.006125529170933812
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop1	30	30150	1435980	1025.1864406779662	1688.7531466480743	-0.01416123154328102
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz	100	26260	1832000	307.4549246231156	490.0365799912156	-0.004025148159032116
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop1	32	7348	586240	245.95238095238093	267.3284510097757	-0.0027029965327928706
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop0	30	9936	549600	339.1101694915254	402.2985273792746	-0.005661863167783847
./pm13_4a_1mC10.100119972/pm13_4a_1mC10.100119972_chr10.vcf.gz.pop2	27	15850	1292382	734.9021663172606	735.3664261576249	-2.5275099759337785e-05
./gravel_1mC10.30832258/gravel_1mC10.30832258_chr10.vcf.gz.pop2	38	7204	696160	257.7340350877193	271.14947377324705	-0.0014087016189042935
