file	nsamp	ndiffs	ncells
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	2	7898	133052
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	3	11468	199578
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	4	14878	266104
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	5	20590	332630
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	6	24250	399156
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	7	28062	465682
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	8	31462	532208
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	9	34508	598734
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	10	38592	665260
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	11	44878	731786
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	12	47410	798312
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	13	52640	864838
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	14	57000	931364
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	15	60164	997890
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	16	64032	1064416
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	17	67174	1130942
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	18	70678	1197468
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	2	7944	133052
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	3	11798	199578
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	4	15120	266104
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	5	20520	332630
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	6	23654	399156
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	7	29062	465682
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	8	31416	532208
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	9	36080	598734
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	10	38914	665260
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	11	42798	731786
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	12	48510	798312
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	13	51938	864838
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	14	55056	931364
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	15	57298	997890
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	16	62094	1064416
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	17	67958	1130942
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	18	70150	1197468
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	19	74198	1263994
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	20	78202	1330520
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	21	84600	1397046
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	22	90770	1463572
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	23	84872	1530098
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	24	94808	1596624
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	25	97050	1663150
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	26	98628	1729676
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	27	104854	1796202
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	2	10006	226788
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	28	108888	1862728
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	2	11476	377648
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	3	14994	340182
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	29	116662	1929254
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	3	16612	566472
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	4	20454	453576
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	30	118330	1995780
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	4	21582	755296
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	5	23824	566970
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	6	30538	680364
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	31	117880	2062306
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	5	28048	944120
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	7	34794	793758
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	32	130840	2128832
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	6	30030	1132944
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	8	40384	907152
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	7	39258	1321768
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	33	126992	2195358
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	9	46468	1020546
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	10	50798	1133940
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	8	44676	1510592
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	34	132432	2261884
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	11	57058	1247334
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	9	48886	1699416
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	35	137782	2328410
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	12	59798	1360728
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	10	54520	1888240
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	36	143636	2394936
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	13	65068	1474122
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	11	60460	2077064
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	37	145026	2461462
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	14	69350	1587516
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	12	67550	2265888
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	15	76094	1700910
